Linux 2.6.32-358.6.2.el6.x86_64 (lva1-app1774.prod) 	11/09/2014 	_x86_64_	(24 CPU)

09:36:28 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest     %idle
09:36:37 AM      12      5.05      0.00      1.01      3.03      0.00      0.00      0.00      0.00     90.91
09:36:37 AM      13      3.96      0.00      0.99      0.00      0.00      0.00      0.00      0.00     95.05
09:36:37 AM      14      3.06      0.00      2.04      0.00      0.00      0.00      0.00      0.00     94.90
09:36:37 AM      15      1.01      0.00      1.01      0.00      0.00      0.00      0.00      0.00     97.98
09:36:37 AM      16      1.01      0.00      0.00      0.00      0.00      0.00      0.00      0.00     98.99
09:36:37 AM      17      1.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00     97.00
09:36:37 AM      18      3.03      0.00      0.00      0.00      0.00      0.00      0.00      0.00     96.97
09:36:37 AM      19     17.17      0.00      1.01      0.00      0.00      0.00      0.00      0.00     81.82
09:36:37 AM      20      1.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     98.00
09:36:37 AM      21      0.00      0.00      1.01      0.00      0.00      0.00      0.00      0.00     98.99
09:36:37 AM      22      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
09:36:37 AM      23      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     99.00

09:36:37 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest     %idle
09:36:38 AM     all     11.40      0.00      1.38      0.17      0.00      0.00      0.00      0.00     87.05
09:36:38 AM       0     21.21      0.00      2.02      0.00      0.00      0.00      0.00      0.00     76.77
09:36:38 AM       1      5.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00     93.00
09:36:38 AM       2      3.96      0.00      1.98      0.99      0.00      0.00      0.00      0.00     93.07
09:36:38 AM       3      4.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     96.00
09:36:38 AM       4      4.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00     95.00
09:36:38 AM       5     42.42      0.00      0.00      0.00      0.00      0.00      0.00      0.00     57.58
09:36:38 AM       6     17.17      0.00      1.01      0.00      0.00      0.00      0.00      0.00     81.82
09:36:38 AM       7      6.06      0.00      2.02      3.03      0.00      0.00      0.00      0.00     88.89
09:36:38 AM       8      3.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     97.00
09:36:38 AM       9      3.03      0.00      1.01      0.00      0.00      0.00      0.00      0.00     95.96
09:36:38 AM      10      3.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     96.00
09:36:38 AM      11      3.03      0.00      0.00      0.00      0.00      0.00      0.00      0.00     96.97
09:36:38 AM      12     11.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     88.00
09:36:38 AM      13      3.03      0.00      2.02      0.00      0.00      0.00      0.00      0.00     94.95
09:36:38 AM      14      2.00      0.00      4.00      1.00      0.00      0.00      0.00      0.00     93.00
09:36:38 AM      15      3.96      0.00      1.98      0.00      0.00      0.00      0.99      0.00     93.07
09:36:38 AM      16      0.99      0.00      1.98      0.00      0.00      0.00      0.00      0.00     97.03
09:36:38 AM      17      3.03      0.00      2.02      0.00      0.00      0.00      0.00      0.00     94.95
09:36:38 AM      18     26.26      0.00      1.01      0.00      0.00      0.00      0.00      0.00     72.73
09:36:38 AM      19     95.05      0.00      0.00      0.00      0.00      0.00      0.00      0.00      4.95
09:36:38 AM      20      2.00      0.00      5.00      0.00      0.00      0.00      0.00      0.00     93.00
09:36:38 AM      21      4.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00     94.00
09:36:38 AM      22      2.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     97.00
09:36:38 AM      23      3.03      0.00      1.01      0.00      0.00      0.00      0.00      0.00     95.96

09:36:38 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest     %idle
09:36:39 AM     all     10.19      0.00      0.96      2.26      0.00      0.00      0.08      0.00     86.51
09:36:39 AM       0     65.35      0.00      1.98      0.00      0.00      0.00      0.99      0.00     31.68
09:36:39 AM       1      9.00      0.00      2.00      1.00      0.00      0.00      0.00      0.00     88.00
09:36:39 AM       2      4.08      0.00      1.02     22.45      0.00      0.00      0.00      0.00     72.45
09:36:39 AM       3      2.04      0.00      0.00     15.31      0.00      0.00      0.00      0.00     82.65
09:36:39 AM       4      1.02      0.00      0.00      0.00      0.00      0.00      0.00      0.00     98.98
09:36:39 AM       5      1.01      0.00      0.00      0.00      0.00      0.00      0.00      0.00     98.99
09:36:39 AM       6     33.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     66.00
09:36:39 AM       7     43.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     56.00
09:36:39 AM       8      2.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     97.00
09:36:39 AM       9      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     99.00
09:36:39 AM      10      1.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     98.00
09:36:39 AM      11      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     99.00
09:36:39 AM      12      4.04      0.00      2.02      2.02      0.00      0.00      0.00      0.00     91.92
09:36:39 AM      13      4.90      0.00      1.96     13.73      0.00      0.00      0.00      0.00     79.41
09:36:39 AM      14      2.02      0.00      2.02      0.00      0.00      0.00      0.00      0.00     95.96
09:36:39 AM      15      2.02      0.00      1.01      0.00      0.00      0.00      0.00      0.00     96.97
09:36:39 AM      16      1.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     98.00
09:36:39 AM      17      1.01      0.00      1.01      0.00      0.00      0.00      0.00      0.00     97.98
09:36:39 AM      18      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     99.00
09:36:39 AM      19     62.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     38.00
09:36:39 AM      20      2.97      0.00      1.98      0.00      0.00      0.00      0.00      0.00     95.05
09:36:39 AM      21      1.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     98.00
09:36:39 AM      22      0.99      0.00      0.99      0.00      0.00      0.00      0.00      0.00     98.02
09:36:39 AM      23      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     99.00

