Linux 2.6.32-131.4.1.el6.x86_64 (esv4-app133.stg) 	02/23/2012 	_x86_64_	(24 CPU)

09:29:18 PM  pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s    %vmeff
09:35:44 PM      0.00      4.00    130.50      0.00    488.50      0.00      0.00      0.00      0.00
09:35:46 PM      0.00     28.86    127.36      0.00    470.65      0.00      0.00      0.00      0.00
09:35:48 PM      0.00      3.02    124.62      0.00  36096.98      0.00  11742.21  11741.71    100.00
09:35:50 PM      0.00     16.00    177.00      0.00    583.50      0.00      0.00      0.00      0.00
09:35:52 PM      0.00     25.00    125.00      0.00    463.00      0.00      0.00      0.00      0.00
09:35:54 PM      0.00    897.49    128.64      0.00    476.88      0.00      0.00      0.00      0.00
09:35:56 PM      0.00      1.99    122.39      0.00    455.72      0.00      0.00      0.00      0.00
09:35:58 PM      0.00     64.32    121.61      0.00  11086.43      0.00   8419.60   8419.60    100.00
09:36:00 PM     42.00     11.50    181.50      1.00    598.50      0.00      0.00      0.00      0.00
09:36:02 PM      0.00      0.00    132.34      0.00    465.67      0.00      0.00      0.00      0.00
09:36:04 PM      0.00     25.00    123.50      0.00    467.00      0.00      0.00      0.00      0.00
09:36:06 PM      0.00      3.50    122.00      0.00    452.50      0.00      0.00      0.00      0.00
09:36:08 PM      0.00     14.00    122.50      0.00    470.50      0.00      0.00      0.00      0.00
09:36:10 PM      0.00     31.50    181.00      0.00    564.50      0.00      0.00      0.00      0.00
09:36:12 PM      0.00      3.00    128.00      0.00    465.00      0.00      0.00      0.00      0.00
09:36:14 PM      0.00     20.00    164.50      0.00    460.00      0.00      0.00      0.00      0.00
09:36:16 PM      0.00     27.00    125.50      0.00    460.50      0.00      0.00      0.00      0.00
09:36:18 PM      0.00      3.52    128.64      0.00    463.32      0.00      0.00      0.00      0.00
09:36:20 PM      0.00      0.00  79603.00      0.00  25374.00      0.00      0.00      0.00      0.00
09:36:22 PM      0.00     29.00    122.00      0.00    475.50      0.00      0.00      0.00      0.00
09:36:24 PM      0.00    815.42    126.87      0.00    463.68      0.00      0.00      0.00      0.00
09:36:26 PM      0.00      0.00    125.00      0.00    492.00      0.00      0.00      0.00      0.00
09:36:28 PM      4.00     55.50    131.00      0.00    479.00      0.00      0.00      0.00      0.00
09:36:30 PM      0.00      0.00    177.50      0.00    575.50      0.00      0.00      0.00      0.00
09:36:32 PM      0.00      0.00    129.00      0.00    480.00      0.00      0.00      0.00      0.00
09:36:34 PM      0.00     56.28    124.12      0.00    465.33      0.00      0.00      0.00      0.00
09:36:36 PM      0.00      0.00    122.39      0.00    452.74      0.00      0.00      0.00      0.00
09:36:38 PM      0.00     29.00    122.50      0.00    460.50      0.00      0.00      0.00      0.00
09:36:40 PM      0.00      3.50    178.50      0.00    568.50      0.00      0.00      0.00      0.00
09:36:42 PM      0.00      0.00    124.00      0.00    454.00      0.00      0.00      0.00      0.00
09:36:44 PM      0.00     51.76    128.14      0.00    466.33      0.00      0.00      0.00      0.00
09:36:46 PM      0.00      4.50    130.50      0.00    466.00      0.00      0.00      0.00      0.00
09:36:48 PM      0.00      0.00    125.00      0.00    459.00      0.00      0.00      0.00      0.00
09:36:50 PM      0.00     30.50    176.50      0.00    554.50      0.00      0.00      0.00      0.00
09:36:52 PM      0.00      0.00    122.39      0.00    457.71      0.00      0.00      0.00      0.00
09:36:54 PM      0.00    872.00    119.00      0.00    451.50      0.00      0.00      0.00      0.00
09:36:56 PM      0.00     38.50    120.50      0.00    452.50      0.00      0.00      0.00      0.00
09:36:58 PM      0.00     10.05    124.62      0.00    456.78      0.00      0.00      0.00      0.00
09:37:00 PM      0.00      5.47    175.62      0.00    555.72      0.00      0.00      0.00      0.00
09:37:02 PM      0.00     40.00    129.00      0.00    456.50      0.00      0.00      0.00      0.00
