Linux 2.6.32-358.6.2.el6.x86_64 (lva1-app1774.prod) 	11/09/2014 	_x86_64_	(24 CPU)

09:36:28 AM     CPU       MHz
09:36:51 AM      19   2501.00
09:36:51 AM      20   2501.00
09:36:51 AM      21   2501.00
09:36:51 AM      22   2501.00
09:36:51 AM      23   2501.00

09:36:51 AM     CPU       MHz
09:36:52 AM     all   2501.00
09:36:52 AM       0   2501.00
09:36:52 AM       1   2501.00
09:36:52 AM       2   2501.00
09:36:52 AM       3   2501.00
09:36:52 AM       4   2501.00
09:36:52 AM       5   2501.00
09:36:52 AM       6   2501.00
09:36:52 AM       7   2501.00
09:36:52 AM       8   2501.00
09:36:52 AM       9   2501.00
09:36:52 AM      10   2501.00
09:36:52 AM      11   2501.00
09:36:52 AM      12   2501.00
09:36:52 AM      13   2501.00
09:36:52 AM      14   2501.00
09:36:52 AM      15   2501.00
09:36:52 AM      16   2501.00
09:36:52 AM      17   2501.00
09:36:52 AM      18   2501.00
09:36:52 AM      19   2501.00
09:36:52 AM      20   2501.00
09:36:52 AM      21   2501.00
09:36:52 AM      22   2501.00
09:36:52 AM      23   2501.00

09:36:52 AM     CPU       MHz
09:36:53 AM     all   2501.00
09:36:53 AM       0   2501.00
09:36:53 AM       1   2501.00
09:36:53 AM       2   2501.00
09:36:53 AM       3   2501.00
09:36:53 AM       4   2501.00
09:36:53 AM       5   2501.00
09:36:53 AM       6   2501.00
09:36:53 AM       7   2501.00
09:36:53 AM       8   2501.00
09:36:53 AM       9   2501.00
09:36:53 AM      10   2501.00
09:36:53 AM      11   2501.00
09:36:53 AM      12   2501.00
09:36:53 AM      13   2501.00
09:36:53 AM      14   2501.00
09:36:53 AM      15   2501.00
09:36:53 AM      16   2501.00
09:36:53 AM      17   2501.00
09:36:53 AM      18   2501.00
09:36:53 AM      19   2501.00
09:36:53 AM      20   2501.00
09:36:53 AM      21   2501.00
09:36:53 AM      22   2501.00
09:36:53 AM      23   2501.00

09:36:53 AM     CPU       MHz
09:36:54 AM     all   2501.00
09:36:54 AM       0   2501.00
09:36:54 AM       1   2501.00
09:36:54 AM       2   2501.00
09:36:54 AM       3   2501.00
09:36:54 AM       4   2501.00
09:36:54 AM       5   2501.00
09:36:54 AM       6   2501.00
09:36:54 AM       7   2501.00
09:36:54 AM       8   2501.00
09:36:54 AM       9   2501.00
09:36:54 AM      10   2501.00
09:36:54 AM      11   2501.00
09:36:54 AM      12   2501.00
09:36:54 AM      13   2501.00
09:36:54 AM      14   2501.00
09:36:54 AM      15   2501.00
09:36:54 AM      16   2501.00
09:36:54 AM      17   2501.00
09:36:54 AM      18   2501.00
09:36:54 AM      19   2501.00
09:36:54 AM      20   2501.00
09:36:54 AM      21   2501.00
09:36:54 AM      22   2501.00
09:36:54 AM      23   2501.00

09:36:54 AM     CPU       MHz
09:36:55 AM     all   2501.00
09:36:55 AM       0   2501.00
09:36:55 AM       1   2501.00
09:36:55 AM       2   2501.00
09:36:55 AM       3   2501.00
09:36:55 AM       4   2501.00
09:36:55 AM       5   2501.00
09:36:55 AM       6   2501.00
09:36:55 AM       7   2501.00
09:36:55 AM       8   2501.00
09:36:55 AM       9   2501.00
09:36:55 AM      10   2501.00
09:36:55 AM      11   2501.00
09:36:55 AM      12   2501.00
09:36:55 AM      13   2501.00
09:36:55 AM      14   2501.00
09:36:55 AM      15   2501.00
09:36:55 AM      16   2501.00
09:36:55 AM      17   2501.00
09:36:55 AM      18   2501.00
09:36:55 AM      19   2501.00
09:36:55 AM      20   2501.00
09:36:55 AM      21   2501.00
09:36:55 AM      22   2501.00
09:36:55 AM      23   2501.00

09:36:55 AM     CPU       MHz
09:36:56 AM     all   2501.00
09:36:56 AM       0   2501.00
09:36:56 AM       1   2501.00
09:36:56 AM       2   2501.00
09:36:56 AM       3   2501.00
09:36:56 AM       4   2501.00
09:36:56 AM       5   2501.00
09:36:56 AM       6   2501.00
09:36:56 AM       7   2501.00
09:36:56 AM       8   2501.00
09:36:56 AM       9   2501.00
09:36:56 AM      10   2501.00
09:36:56 AM      11   2501.00
09:36:56 AM      12   2501.00
09:36:56 AM      13   2501.00
09:36:56 AM      14   2501.00
09:36:56 AM      15   2501.00
09:36:56 AM      16   2501.00
09:36:56 AM      17   2501.00
09:36:56 AM      18   2501.00
09:36:56 AM      19   2501.00
09:36:56 AM      20   2501.00
09:36:56 AM      21   2501.00
09:36:56 AM      22   2501.00
09:36:56 AM      23   2501.00

09:36:56 AM     CPU       MHz
09:36:57 AM     all   2501.00
09:36:57 AM       0   2501.00
09:36:57 AM       1   2501.00
09:36:57 AM       2   2501.00
09:36:57 AM       3   2501.00
09:36:57 AM       4   2501.00
09:36:57 AM       5   2501.00
09:36:57 AM       6   2501.00
09:36:57 AM       7   2501.00
09:36:57 AM       8   2501.00
09:36:57 AM       9   2501.00
09:36:57 AM      10   2501.00
09:36:57 AM      11   2501.00
09:36:57 AM      12   2501.00
09:36:57 AM      13   2501.00
09:36:57 AM      14   2501.00
09:36:57 AM      15   2501.00
09:36:57 AM      16   2501.00
09:36:57 AM      17   2501.00
09:36:57 AM      18   2501.00
09:36:57 AM      19   2501.00
09:36:57 AM      20   2501.00
09:36:57 AM      21   2501.00
09:36:57 AM      22   2501.00
09:36:57 AM      23   2501.00

09:36:57 AM     CPU       MHz
09:36:58 AM     all   2501.00
09:36:58 AM       0   2501.00
09:36:58 AM       1   2501.00
09:36:58 AM       2   2501.00
09:36:58 AM       3   2501.00
09:36:58 AM       4   2501.00
09:36:58 AM       5   2501.00
09:36:58 AM       6   2501.00
09:36:58 AM       7   2501.00
09:36:58 AM       8   2501.00
09:36:58 AM       9   2501.00
09:36:58 AM      10   2501.00
09:36:58 AM      11   2501.00
09:36:58 AM      12   2501.00
09:36:58 AM      13   2501.00
09:36:58 AM      14   2501.00
09:36:58 AM      15   2501.00
09:36:58 AM      16   2501.00
09:36:58 AM      17   2501.00
09:36:58 AM      18   2501.00
09:36:58 AM      19   2501.00
09:36:58 AM      20   2501.00
09:36:58 AM      21   2501.00
09:36:58 AM      22   2501.00
09:36:58 AM      23   2501.00

09:36:58 AM     CPU       MHz
09:36:59 AM     all   2501.00
09:36:59 AM       0   2501.00
09:36:59 AM       1   2501.00
09:36:59 AM       2   2501.00
09:36:59 AM       3   2501.00
09:36:59 AM       4   2501.00
09:36:59 AM       5   2501.00
09:36:59 AM       6   2501.00
09:36:59 AM       7   2501.00
09:36:59 AM       8   2501.00
09:36:59 AM       9   2501.00
09:36:59 AM      10   2501.00
09:36:59 AM      11   2501.00
09:36:59 AM      12   2501.00
09:36:59 AM      13   2501.00
09:36:59 AM      14   2501.00
09:36:59 AM      15   2501.00
09:36:59 AM      16   2501.00
09:36:59 AM      17   2501.00
09:36:59 AM      18   2501.00
09:36:59 AM      19   2501.00
09:36:59 AM      20   2501.00
09:36:59 AM      21   2501.00
09:36:59 AM      22   2501.00
09:36:59 AM      23   2501.00

09:36:59 AM     CPU       MHz
09:37:00 AM     all   2501.00
09:37:00 AM       0   2501.00
09:37:00 AM       1   2501.00
09:37:00 AM       2   2501.00
09:37:00 AM       3   2501.00
09:37:00 AM       4   2501.00
09:37:00 AM       5   2501.00
09:37:00 AM       6   2501.00
09:37:00 AM       7   2501.00
09:37:00 AM       8   2501.00
09:37:00 AM       9   2501.00
09:37:00 AM      10   2501.00
09:37:00 AM      11   2501.00
09:37:00 AM      12   2501.00
09:37:00 AM      13   2501.00
09:37:00 AM      14   2501.00
09:37:00 AM      15   2501.00
09:37:00 AM      16   2501.00
09:37:00 AM      17   2501.00
09:37:00 AM      18   2501.00
09:37:00 AM      19   2501.00
09:37:00 AM      20   2501.00
09:37:00 AM      21   2501.00
09:37:00 AM      22   2501.00
09:37:00 AM      23   2501.00

09:37:00 AM     CPU       MHz
09:37:01 AM     all   2501.00
09:37:01 AM       0   2501.00
09:37:01 AM       1   2501.00
09:37:01 AM       2   2501.00
09:37:01 AM       3   2501.00
09:37:01 AM       4   2501.00
09:37:01 AM       5   2501.00
09:37:01 AM       6   2501.00
09:37:01 AM       7   2501.00
09:37:01 AM       8   2501.00
09:37:01 AM       9   2501.00
09:37:01 AM      10   2501.00
09:37:01 AM      11   2501.00
09:37:01 AM      12   2501.00
