Linux 2.6.32 (machine1) 	02/23/2012 	_x86_64_	(24 CPU)

09:29:18 PM    proc/s   cswch/s
09:44:48 PM      0.00    610.50
09:44:50 PM      0.00    594.47
09:44:52 PM      0.00    560.50
09:44:54 PM      0.00    675.12
09:44:56 PM      0.50    550.75
09:44:58 PM      1.00    598.00
09:45:00 PM      0.00    590.00
09:45:02 PM      0.00    585.00
09:45:04 PM      0.00    576.62
09:45:06 PM      0.00    566.83
09:45:08 PM      0.00    592.54
09:45:10 PM      0.50    579.40
09:45:12 PM      0.00    589.05
09:45:14 PM      0.00    625.63
09:45:16 PM      0.00    539.30
09:45:18 PM      0.00    682.91
09:45:20 PM      0.00    565.50
09:45:22 PM      0.00    565.50
09:45:24 PM     23.44    814.35
09:45:26 PM    275.92   3363.35
09:45:28 PM      0.00    623.50
09:45:30 PM      0.00    588.50
09:45:32 PM      0.50    563.18
09:45:34 PM      0.50    603.02
09:45:36 PM      0.00    547.03
09:45:38 PM      0.00    614.57
09:45:40 PM      0.00    652.24
09:45:42 PM      0.00    555.72
09:45:44 PM      0.00    589.00
09:45:46 PM      0.00    561.19
09:45:48 PM      0.00    606.47
09:45:50 PM      0.00    613.43
09:45:52 PM      0.00    591.46
09:45:54 PM      0.00    567.66
09:45:56 PM      0.00    542.00
09:45:58 PM      0.00    610.45
09:46:00 PM      0.50    574.13
09:46:02 PM      0.00    588.06
09:46:04 PM      0.00    649.00
09:46:06 PM      0.00    550.25
09:46:08 PM      0.00    610.47
09:46:10 PM      0.50    630.85
09:46:12 PM      0.00    570.50
09:46:14 PM      0.00    621.50
09:46:16 PM      0.00    560.00
09:46:18 PM      0.00    604.00
09:46:20 PM      0.00    568.34
09:46:22 PM      0.00    578.22
09:46:24 PM      0.00    578.39
09:46:26 PM    288.50   3474.00
09:46:28 PM      0.00    673.00
09:46:30 PM      0.00    563.18
09:46:32 PM      0.50    570.85
09:46:34 PM      0.00    587.50
09:46:36 PM      0.00    546.00
09:46:38 PM      0.00    624.12
09:46:40 PM      0.00    580.69
09:46:42 PM      0.00    570.35
09:46:44 PM      0.00    571.64
09:46:46 PM      0.00    572.36
09:46:48 PM      0.50    624.50
09:46:50 PM      0.00    593.50
09:46:52 PM      0.00    647.26
09:46:54 PM      0.00    573.87
09:46:56 PM      0.00    550.00
09:46:58 PM      0.00    606.50
09:47:00 PM      0.00    577.50
09:47:02 PM      0.00    587.56
09:47:04 PM      0.00    587.44
09:47:06 PM      0.00    543.00
09:47:08 PM      0.00    617.00
09:47:10 PM      0.00    574.00
09:47:12 PM      0.00    564.50
09:47:14 PM      0.50    708.42
09:47:16 PM      0.00    552.02
09:47:18 PM      0.00    591.54
09:47:20 PM      0.00    626.63
09:47:22 PM      0.00    566.17
09:47:24 PM      0.00    575.38
09:47:26 PM    288.50   3507.00
09:47:28 PM      0.00    616.58
09:47:30 PM      0.00    567.16
09:47:32 PM      0.50    597.50
09:47:34 PM      0.00    569.65
09:47:36 PM      0.00    551.76
09:47:38 PM      0.00    680.00
09:47:40 PM      0.50    580.50
09:47:42 PM      0.00    564.50
09:47:44 PM      0.50    617.91
09:47:46 PM      0.00    555.78
09:47:48 PM      0.00    585.50
09:47:50 PM      0.00    623.38
09:47:52 PM      0.00    561.81
09:47:54 PM      0.00    584.58
09:47:56 PM      0.00    553.27
09:47:58 PM      0.00    594.50
09:48:00 PM      0.00    624.00
09:48:02 PM      0.00    662.87
09:48:04 PM      0.50    575.38
09:48:06 PM      0.00    577.61
09:48:08 PM      0.00    607.50
09:48:10 PM      0.00    584.00
09:48:12 PM      0.00    591.00
09:48:14 PM      0.00    610.95
09:48:16 PM      0.00    544.78
09:48:18 PM      0.00    642.50
09:48:20 PM      0.00    573.13
09:48:22 PM      0.00    572.86
09:48:24 PM      0.00    650.25
09:48:26 PM    168.29   2267.80
09:48:28 PM    118.46   1833.85
09:48:30 PM      0.50    578.61
09:48:32 PM      0.50    571.14
09:48:34 PM      0.00    589.05
09:48:36 PM      0.00    546.50
09:48:38 PM      0.00    629.50
09:48:40 PM      0.50    604.50
09:48:42 PM      0.00    565.50
09:48:44 PM      0.00    586.07
09:48:46 PM      0.00    572.00
09:48:48 PM      0.00    639.80
09:48:50 PM      0.00    625.26
09:48:52 PM      0.00    584.50
09:48:54 PM      0.00    571.00
09:48:56 PM      0.50    552.26
09:48:58 PM      0.00    619.40
09:49:00 PM      0.00    591.00
09:49:02 PM      0.00    592.00
09:49:04 PM      0.00    591.96
09:49:06 PM      0.00    548.00
09:49:08 PM      0.00    587.00
09:49:10 PM      0.00    595.50
09:49:12 PM      0.00    618.91
09:49:14 PM      0.00    627.14
09:49:16 PM      0.00    563.18
09:49:18 PM      0.50    604.50
09:49:20 PM      0.50    582.91
09:49:22 PM      0.00    652.50
09:49:24 PM      0.00    587.56
09:49:26 PM      0.00    582.91
09:49:28 PM    288.00   3506.50
09:49:30 PM      0.00    577.61
09:49:32 PM      0.50    577.39
09:49:34 PM      0.00    581.59
09:49:36 PM      0.00    620.60
09:49:38 PM      0.00    672.00
09:49:40 PM      0.00    590.00
09:49:42 PM      0.00    572.50
09:49:44 PM      0.50    599.50
09:49:46 PM      0.00    560.89
09:49:48 PM      0.00    597.00
09:49:50 PM      0.00    620.60
09:49:52 PM      0.00    577.61
09:49:54 PM      0.00    594.97
09:49:56 PM      0.50    557.00
09:49:58 PM      0.98    656.86
09:50:00 PM      0.00    595.38
09:50:02 PM      1.00    666.67
09:50:04 PM      0.00    591.00
09:50:06 PM      0.00    555.22
09:50:08 PM      0.00    599.50
09:50:10 PM      0.50    606.50
09:50:12 PM      0.00    576.62
09:50:14 PM      0.00    631.50
09:50:16 PM      0.00    572.86
09:50:18 PM      0.00    621.50
09:50:20 PM      0.00    575.00
09:50:22 PM      0.00    657.00
09:50:24 PM      0.00    579.50
09:50:26 PM      0.00    567.00
09:50:28 PM    288.00   3529.00
09:50:30 PM      0.00    604.00
09:50:32 PM      0.50    572.00
09:50:34 PM      0.50    610.50
09:50:36 PM      0.00    526.67
09:50:38 PM      0.00    655.26
09:50:40 PM      0.00    603.98
09:50:42 PM      0.00    573.87
09:50:44 PM      0.00    586.07
09:50:46 PM      0.00    639.70
09:50:48 PM      0.00    599.50
09:50:50 PM      0.00    602.00
09:50:52 PM      0.00    587.94
09:50:54 PM      0.00    577.72
09:50:56 PM      0.00    556.28
09:50:58 PM      0.00    627.00
09:51:00 PM      0.50    583.00
09:51:02 PM      0.00    602.51
09:51:04 PM      0.00    589.55
09:51:06 PM      0.00    554.77
09:51:08 PM      0.00    657.71
09:51:10 PM      0.50    708.00
09:51:12 PM      0.00    626.37
09:51:14 PM      0.00    630.50
09:51:16 PM      0.00    565.67
09:51:18 PM      0.00    594.03
09:51:20 PM      0.00    574.50
09:51:22 PM      0.00    589.05
09:51:24 PM      0.00    581.59
09:51:26 PM      0.50    577.00
09:51:28 PM    286.57   3534.83
09:51:30 PM      0.00    564.00
09:51:32 PM      0.50    573.13
09:51:34 PM      0.00    623.38
09:51:36 PM      0.00    545.77
09:51:38 PM      0.00    636.50
09:51:40 PM      0.00    572.00
09:51:42 PM      0.00    660.00
09:51:44 PM      0.00    624.38
09:51:46 PM      0.00    548.74
09:51:48 PM      0.50    605.97
09:51:50 PM      0.00    623.00
09:51:52 PM      0.00    570.65
09:51:54 PM      0.00    585.93
09:51:56 PM      0.00    619.51
09:51:58 PM      0.00    677.95
09:52:00 PM      0.00    649.75
09:52:02 PM      0.00    667.33
09:52:04 PM      0.00    644.72
09:52:06 PM      0.00    549.75
09:52:08 PM      0.00    617.09
09:52:10 PM      1.01    579.90
09:52:12 PM      0.00    567.16
09:52:14 PM      0.50    639.50
09:52:16 PM      0.00    540.30
09:52:18 PM      0.00    620.10
09:52:20 PM      0.00    638.00
09:52:22 PM      0.00    626.00
09:52:24 PM      0.00    668.84
09:52:26 PM      0.50    625.25
09:52:28 PM     24.88    836.84
09:52:30 PM    275.79   3424.21
09:52:32 PM      0.50    570.50
09:52:34 PM      0.00    575.88
09:52:36 PM      0.00    566.67
09:52:38 PM      0.00    623.12
09:52:40 PM      0.50    570.15
09:52:42 PM      0.00    597.00
09:52:44 PM      0.50    679.90
09:52:46 PM      0.00    539.30
09:52:48 PM      0.00    611.56
09:52:50 PM      0.00    592.04
09:52:52 PM      0.00    565.83
09:52:54 PM      0.00    591.50
09:52:56 PM      0.00    539.30
09:52:58 PM      0.00    615.58
09:53:00 PM      0.00    582.50
09:53:02 PM      0.00    592.54
09:53:04 PM      0.50    579.50
09:53:06 PM      0.00    551.50
09:53:08 PM      0.00    660.30
09:53:10 PM      0.00    590.05
09:53:12 PM      0.00    580.40
09:53:14 PM      0.00    609.95
09:53:16 PM      0.00    561.81
09:53:18 PM      0.00    607.96
09:53:20 PM      0.00    577.50
09:53:22 PM      0.00    596.98
09:53:24 PM      0.00    575.62
09:53:26 PM      0.00    569.50
09:53:28 PM      0.00    692.96
09:53:30 PM    277.40   3481.73
09:53:32 PM      0.52    646.39
09:53:34 PM      0.00    636.68
09:53:36 PM      0.00    553.73
09:53:38 PM      0.00    629.65
09:53:40 PM      0.50    592.50
09:53:42 PM      0.00    566.17
09:53:44 PM      0.00    593.47
09:53:46 PM      0.00    709.00
09:53:48 PM      0.00    592.00
09:53:50 PM      0.00    595.50
09:53:52 PM      0.00    583.58
09:53:54 PM      0.00    648.00
09:53:56 PM      0.50    556.78
09:53:58 PM      0.00    611.50
09:54:00 PM      0.00    573.63
09:54:02 PM      0.00    593.00
09:54:04 PM      0.00    570.50
09:54:06 PM      0.00    548.74
09:54:08 PM      0.00    587.56
09:54:10 PM      0.00    591.00
09:54:12 PM      0.00    576.38
09:54:14 PM      0.00    606.97
09:54:16 PM      0.00    568.84
09:54:18 PM      0.50    659.50
09:54:20 PM      0.00    573.13
09:54:22 PM      0.00    603.02
09:54:24 PM      0.00    577.61
09:54:26 PM      0.00    568.34
09:54:28 PM      0.00    625.50
09:54:30 PM    288.00   3492.50
09:54:32 PM      0.50    572.50
09:54:34 PM      0.00    585.00
09:54:36 PM      0.00    546.00
09:54:38 PM      0.00    611.50
09:54:40 PM      0.00    586.00
09:54:42 PM      0.00    625.50
09:54:44 PM      0.50    585.00
09:54:46 PM      0.00    563.00
09:54:48 PM      0.00    607.00
09:54:50 PM      0.00    595.00
09:54:52 PM      0.00    587.00
09:54:54 PM      0.00    581.50
09:54:56 PM      0.50    546.00
09:54:58 PM      1.00    619.00
09:55:00 PM      0.00    576.50
09:55:02 PM      0.00    594.50
09:55:04 PM      0.00    617.50
09:55:06 PM      0.00    601.00
09:55:08 PM      0.00    607.00
09:55:10 PM      0.50    597.00
09:55:12 PM      0.00    578.00
09:55:14 PM      0.00    618.91
09:55:16 PM      0.00    567.50
09:55:18 PM      0.00    591.50
09:55:20 PM      0.00    589.95
09:55:22 PM      0.00    596.00
09:55:24 PM      0.00    572.00
09:55:26 PM      0.00    567.00
09:55:28 PM      0.00    680.29
09:55:30 PM    182.35   2416.67
09:55:32 PM    109.63   1716.58
09:55:34 PM      0.50    608.00
09:55:36 PM      0.00    566.50
09:55:38 PM      0.00    640.00
09:55:40 PM      0.00    566.50
09:55:42 PM      0.00    570.50
09:55:44 PM      0.00    601.50
09:55:46 PM      0.00    544.00
09:55:48 PM      0.00    590.50
09:55:50 PM      0.00    642.00
09:55:52 PM      0.00    630.50
09:55:54 PM      0.00    578.50
09:55:56 PM      0.00    570.00
09:55:58 PM      0.00    600.00
09:56:00 PM      0.50    579.50
