Linux 2.6.32 (machine1) 	02/23/2012 	_x86_64_	(24 CPU)

09:29:18 PM   frmpg/s   bufpg/s   campg/s
09:47:14 PM    -31.68      1.98     26.73
09:47:16 PM      1.01      0.00     15.66
09:47:18 PM    833.83      0.00   -879.10
09:47:20 PM     15.58      1.51     34.17
09:47:22 PM    -30.85      0.00     15.42
09:47:24 PM    -62.31      0.00     14.57
09:47:26 PM   -489.50      1.00     17.00
09:47:28 PM     33.17      1.01     12.06
09:47:30 PM     15.42      0.00     14.43
09:47:32 PM     53.00      1.00     14.00
09:47:34 PM      2.99      0.00     14.43
09:47:36 PM     64.82      0.00     14.57
09:47:38 PM     31.50      1.50     13.50
09:47:40 PM     32.50      0.00     15.50
09:47:42 PM     31.00      0.00     14.00
09:47:44 PM    -13.43      1.99     14.43
09:47:46 PM    -11.56      0.00     14.57
09:47:48 PM     33.00      0.00     14.00
09:47:50 PM    -15.42      1.00     14.43
09:47:52 PM     31.16      0.00     14.57
09:47:54 PM    -15.42      1.00     14.43
09:47:56 PM    -15.58      0.00     14.57
09:47:58 PM     10.50      0.00     14.50
09:48:00 PM     15.50      1.00     14.00
09:48:02 PM    -30.69      0.00     27.23
09:48:04 PM     -5.03      0.00     14.57
09:48:06 PM    -45.77      1.00     13.93
09:48:08 PM      0.00      0.00     14.50
09:48:10 PM    -23.50      0.00     14.00
09:48:12 PM     15.50      1.00     14.50
09:48:14 PM    -15.42      1.00     14.43
09:48:16 PM    -15.42      0.00     13.93
09:48:18 PM    -31.00      1.00     14.50
09:48:20 PM      0.00      0.00     14.43
09:48:22 PM     15.58      0.00     14.07
09:48:24 PM    -61.69      1.00     14.43
09:48:26 PM   -560.98      0.00     23.90
09:48:28 PM    -21.54      2.05      3.59
09:48:30 PM      1.00      0.00     14.93
09:48:32 PM     32.84      0.00     14.43
09:48:34 PM     47.26      1.00     13.93
09:48:36 PM     15.00      0.00     14.50
09:48:38 PM     32.50      0.00     28.50
09:48:40 PM     69.00      1.00      0.00
09:48:42 PM     48.50      0.00     14.50
09:48:44 PM     17.41      0.00     14.43
09:48:46 PM     14.50      1.00     14.50
09:48:48 PM      3.98      0.00     14.43
09:48:50 PM    -16.32      0.00     14.74
09:48:52 PM     19.00      1.00     14.50
09:48:54 PM    -15.50      0.00     14.50
09:48:56 PM     12.06      0.00     14.07
09:48:58 PM    -15.42      1.00     14.43
09:49:00 PM      1.00      0.00     14.50
09:49:02 PM    -36.50      0.00     14.00
09:49:04 PM    -15.58      1.51     14.57
09:49:06 PM    -15.50      0.00     14.50
09:49:08 PM    -15.50      0.00     14.00
09:49:10 PM    -31.00      1.00     15.00
09:49:12 PM     -5.97      0.00     14.43
09:49:14 PM     15.58      1.01     14.07
09:49:16 PM    -30.85      1.00     14.93
09:49:18 PM     14.50      0.00     25.50
09:49:20 PM    -14.57      0.00      3.02
09:49:22 PM    -16.50      1.00     15.00
09:49:24 PM    -30.35      1.00     13.43
09:49:26 PM    -15.58      0.00     15.08
09:49:28 PM   1429.50      1.00  -1936.50
09:49:30 PM      0.00      0.00     14.43
09:49:32 PM     64.32      0.00     14.57
09:49:34 PM     62.69      1.00     14.43
09:49:36 PM     39.20      0.00     14.07
09:49:38 PM   2703.50     -0.50  -2606.00
09:49:40 PM     43.00      1.00     14.50
09:49:42 PM    -31.00      0.00     14.00
09:49:44 PM     64.32      0.00     14.57
09:49:46 PM     33.66      0.99     13.86
09:49:48 PM      0.00      0.00     14.50
09:49:50 PM      6.53      0.00      0.50
09:49:52 PM     46.27      1.00     13.43
09:49:54 PM    -77.89      0.50     15.08
